accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
0,0,[],"['Tino Piet', 'Philip Denko', 'Georgina Gpn', 'Suppe Jer', 'Maria Foel', 'John Comnick', 'Peggy Melendez', 'Ed Rose']",0,0,0
0,0,[],[],0,0,8
0,0,[],"['Darlena Denko', 'Stephen Piet', 'Despina Piet', 'Yvette Piet']",4,0,8
0,0,[],[],0,0,12
0,0,[],"['Robert Comnick', 'Leatha Comnick', 'Eric Denko', 'Monica Piet']",4,0,12
0,0,[],[],0,0,16
1,0,['Despina Piet'],"['Nancy Rose', 'Patrica Rose', 'Peggy Comnick', 'Edward Rose']",4,1,16
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],[],0,0,19
0,0,[],['Lakita Piet'],1,0,19
0,0,[],[],0,0,20
0,0,[],"['Priscilla Piet', 'Donna Denko', 'Mary Denko']",3,0,20
1,0,['Suppe Jer'],[],0,1,23
0,0,[],"['Jane Piet', 'Hector Comnick', 'Kathy Denko', 'Florence Denko', 'James Rose']",5,0,22
0,0,[],[],0,0,27
2,0,"['Tino Piet', 'Jane Piet']","['Wade Comnick', 'Mia Rose', 'Richard Comnick', 'Donald Denko', 'Albert Comnick', 'Jim Rose']",6,2,27
0,0,[],[],0,0,31
0,0,[],"['Travis Comnick', 'Jorge Piet', 'Ross Comnick', 'Ruby Rose']",4,0,31
0,0,[],[],0,0,35
0,0,[],"['Carl Denko', 'Roberta Denko']",2,0,35
0,0,[],[],0,0,37
1,0,['Maria Foel'],[],0,1,37
1,0,['Priscilla Piet'],[],0,1,36
0,0,[],[],0,0,35
0,0,[],[],0,0,35
0,0,[],[],0,0,35
1,0,['Donald Denko'],[],0,1,35
1,0,['Wade Comnick'],[],0,1,34
0,0,[],['Luz Comnick'],1,0,33
1,0,['James Rose'],[],0,1,34
0,0,[],"['Lisa Comnick', 'Michael Comnick']",2,0,33
2,0,"['Peggy Comnick', 'Jim Rose']",[],0,2,35
1,0,['Ed Rose'],"['Douglas Comnick', 'Chae Comnick', 'Viola Comnick', 'Sierra Piet']",4,1,33
0,0,[],[],0,0,36
0,0,[],"['Ivan Comnick', 'Todd Comnick', 'Elisabeth Comnick', 'Robert Comnick']",4,0,36
0,0,[],['Donna Rose'],1,0,40
0,0,[],"['Terry Comnick', 'Erma Piet', 'Cyril Comnick', 'Oscar Comnick']",4,0,41
0,1,['Peggy Melendez'],['Robert Denko'],1,1,45
0,0,[],"['Tatiana Comnick', 'Reginald Denko', 'Miguel Comnick']",3,0,45
0,1,['John Comnick'],['Thomas Denko'],1,1,48
1,0,['Chae Comnick'],"['Elba Denko', 'Eva Comnick']",2,1,48
0,1,['Philip Denko'],[],0,1,49
0,0,[],['David Denko'],1,0,48
1,0,['Nancy Rose'],[],0,1,49
0,0,[],[],0,0,48
2,1,"['Georgina Gpn', 'Jorge Piet', 'Roberta Denko']",[],0,3,48
0,0,[],[],0,0,45
0,0,[],"['Lydia Comnick', 'Jayson Comnick']",2,0,45
0,0,[],[],0,0,47
0,0,[],"['Faye Comnick', 'Margaret Comnick']",2,0,47
0,0,[],[],0,0,49
1,0,['Jayson Comnick'],"['John Comnick', 'Sharon Comnick', 'Martha Comnick', 'Richard Comnick', 'Phillip Comnick']",5,1,49
0,0,[],['Leslie Denko'],1,0,53
1,0,['Ruby Rose'],"['Charlotte Comnick', 'Michael Comnick', 'Sarah Comnick', 'Heidi Denko', 'Donald Denko']",5,1,54
1,0,['Hector Comnick'],['Timothy Comnick'],1,1,58
0,0,[],"['Gerald Comnick', 'Allen Comnick', 'James Comnick', 'Larry Comnick', 'Julie Denko']",5,0,58
1,0,['Elba Denko'],"['Anita Comnick', 'Mary Denko']",2,1,63
2,0,"['Eric Denko', 'Eva Comnick']","['Albert Comnick', 'Allison Denko']",2,2,64
0,0,[],[],0,0,64
0,0,[],[],0,0,64
1,0,['Martha Comnick'],[],0,1,64
2,0,"['Darlena Denko', 'Gerald Comnick']",[],0,2,63
1,0,['Albert Comnick'],[],0,1,61
0,0,[],[],0,0,60
0,0,[],[],0,0,60
0,0,[],[],0,0,60
1,1,"['Yvette Piet', 'Thomas Denko']",[],0,2,60
0,0,[],['Anthony Denko'],1,0,58
0,1,['Leatha Comnick'],"['David Comnick', 'Kelly Comnick', 'Consuelo Denko', 'Lisa Denko', 'Jonathan Denko']",5,1,59
0,1,['Edward Rose'],['Mike Denko'],1,1,63
2,1,"['Patrica Rose', 'Richard Comnick', 'Donna Rose']","['Edward Comnick', 'Kristen Denko', 'Jeanette Denko', 'Lillian Denko', 'Jose Denko', 'Joseph Denko', 'Thelma Comnick']",7,3,63
1,1,"['Stephen Piet', 'Lydia Comnick']",['Rona Denko'],1,2,67
1,1,"['Robert Comnick', 'Consuelo Denko']","['Antonio Comnick', 'Beatrice Comnick', 'Samuel Comnick', 'Edwin Comnick', 'April Comnick', 'Randy Comnick', 'Nancy Comnick', 'Charlotte Comnick', 'Annie Comnick']",9,2,66
0,0,[],['Edward Denko'],1,0,73
0,0,[],"['Fred Comnick', 'Charles Comnick', 'Ronald Denko', 'Everett Comnick', 'Carolyn Comnick']",5,0,74
3,1,"['Monica Piet', 'Mia Rose', 'Lisa Comnick', 'Joseph Denko']",['Siobhan Denko'],1,4,79
0,0,[],"['Gerald Comnick', 'Hank Comnick', 'Curtis Comnick']",3,0,76
1,0,['Rona Denko'],[],0,1,79
2,0,"['Donna Denko', 'David Comnick']",['Julio Comnick'],1,2,78
2,0,"['Donald Denko', 'Julie Denko']",[],0,2,77
1,0,['Margaret Comnick'],[],0,1,75
1,1,"['Lakita Piet', 'David Denko']",[],0,2,74
0,1,['Mary Denko'],[],0,1,72
0,0,[],[],0,0,71
0,0,[],"['Aimee Denko', 'Guadalupe Denko']",2,0,71
1,1,"['Kathy Denko', 'Fred Comnick']","['Ann Comnick', 'Margaret Comnick', 'Donnie Comnick']",3,2,73
3,0,"['Mike Denko', 'Edward Denko', 'Ronald Denko']","['Juana Denko', 'Brandon Denko', 'Deidra Denko']",3,3,74
0,0,[],"['Leslie Comnick', 'Nicole Comnick', 'Lori Comnick', 'Joseph Comnick', 'Pedro Comnick', 'Mary Comnick', 'Gregory Comnick']",7,0,74
0,1,['Ross Comnick'],"['Neva Denko', 'Barbara Comnick', 'Cathy Denko']",3,1,81
2,1,"['Florence Denko', 'Larry Comnick', 'Jose Denko']","['Vincent Comnick', 'Mary Comnick', 'Mary Comnick', 'John Denko', 'Loida Comnick', 'Jean Comnick', 'Susan Comnick', 'Bruce Comnick', 'Shirley Comnick']",9,3,83
1,1,"['Travis Comnick', 'Heidi Denko']",['Anthony Comnick'],1,2,89
2,1,"['Carl Denko', 'Hank Comnick', 'Brandon Denko']","['Julie Comnick', 'Eddie Comnick', 'Cynthia Comnick', 'Beverly Comnick', 'Jason Comnick', 'John Comnick', 'Betty Comnick']",7,3,88
3,1,"['Albert Comnick', 'Robert Denko', 'Reginald Denko', 'Aimee Denko']",[],0,4,92
2,0,"['Erma Piet', 'Barbara Comnick']","['Hugo Comnick', 'Michael Comnick', 'Amy Comnick']",3,2,88
0,0,[],[],0,0,89
0,0,[],['Ethel Comnick'],1,0,89
2,0,"['Elisabeth Comnick', 'Anthony Comnick']",[],0,2,90
0,0,[],[],0,0,88
2,0,"['Samuel Comnick', 'Cathy Denko']",[],0,2,88
0,0,[],[],0,0,86
2,0,"['Sharon Comnick', 'Timothy Comnick']",[],0,2,86
0,0,[],['Leah Comnick'],1,0,84
1,0,['Anthony Denko'],"['Corey Comnick', 'William Comnick', 'Brian Comnick', 'Rita Comnick', 'Patricia Comnick']",5,1,85
2,1,"['Michael Comnick', 'James Comnick', 'Gerald Comnick']",['Sara Comnick'],1,3,89
